id,time,user,language,score,comment,editor
874667,Tue Apr 21 2009 06:14:43 GMT-0400 (EDT),edwin-ldbg,slovak,-6,fuck you,JOSM/1.5 (1541 de)
874786,Tue Apr 21 2009 06:19:32 GMT-0400 (EDT),edwin-ldbg,slovak,-6,fuck you,JOSM/1.5 (1541 de)
874868,Tue Apr 21 2009 06:20:26 GMT-0400 (EDT),edwin-ldbg,slovak,-6,fuck you,JOSM/1.5 (1541 de)
874869,Tue Apr 21 2009 06:20:26 GMT-0400 (EDT),edwin-ldbg,slovak,-6,fuck you,JOSM/1.5 (1541 de)
874960,Tue Apr 21 2009 06:23:07 GMT-0400 (EDT),edwin-ldbg,slovak,-6,fuck you,JOSM/1.5 (1541 de)
883484,Tue Apr 21 2009 14:17:05 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
884654,Tue Apr 21 2009 15:10:10 GMT-0400 (EDT),LivingWithDragons,english,-6,Gilesgate  Durham. Mending some bad data with no names  and adding some missing roads.,JOSM/1.5 (1541 en_GB)
888018,Tue Apr 21 2009 17:19:10 GMT-0400 (EDT),imitation,english,-7,those forced comments in josm are really starting to piss me off,JOSM/1.5 (1541 de)
889108,Tue Apr 21 2009 18:19:12 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
889154,Tue Apr 21 2009 18:21:55 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
889814,Tue Apr 21 2009 19:10:47 GMT-0400 (EDT),edwin-ldbg,cebuano,-6,fucking,JOSM/1.5 (1541 de)
890149,Tue Apr 21 2009 19:45:32 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
890263,Tue Apr 21 2009 19:59:20 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
892612,Wed Apr 22 2009 02:49:36 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
892628,Wed Apr 22 2009 02:50:41 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
896427,Wed Apr 22 2009 08:05:29 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
897391,Wed Apr 22 2009 09:04:25 GMT-0400 (EDT),edwin-ldbg,latvian,-8,Jack Ill Dark !!!!!!  Fuck,JOSM/1.5 (1541 de)
903071,Wed Apr 22 2009 14:43:01 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
903250,Wed Apr 22 2009 14:52:23 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
903326,Wed Apr 22 2009 14:56:17 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
904609,Wed Apr 22 2009 15:53:57 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
904668,Wed Apr 22 2009 15:56:31 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
905812,Wed Apr 22 2009 16:49:57 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
907325,Wed Apr 22 2009 18:04:16 GMT-0400 (EDT),Peter Lerner,english,-7,Fahrradtour im Fichtelgebirge (Saalequelle - Bad Berneck) [upload fails due to conflict with route!!! not resolvable in JOSM!!!!],JOSM/1.5 (1537 de)
910567,Thu Apr 23 2009 07:37:11 GMT-0400 (EDT),lucano,estonian,-6,Viadukt LuSt korrigiert,JOSM
918496,Thu Apr 23 2009 16:49:18 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
921536,Thu Apr 23 2009 20:56:02 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
923957,Fri Apr 24 2009 04:27:23 GMT-0400 (EDT),Sven S_,german,-6,layer korrigiert  die Landestraße führt über die Autobahn,JOSM/1.5 (1553 de)
926573,Fri Apr 24 2009 08:46:47 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1541 de)
935170,Fri Apr 24 2009 21:15:26 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
935247,Fri Apr 24 2009 21:34:17 GMT-0400 (EDT),edwin-ldbg,latin,-6,fuck,JOSM/1.5 (1541 de)
943265,Sat Apr 25 2009 06:27:03 GMT-0400 (EDT),fnolz,german,-6,Die Brücken sind nicht mit den unter ihnen liegenden Wegen verbunden  die Knoten nicht verschoben. Korrigiert.,JOSM/1.5 (1555 de)
955439,Sat Apr 25 2009 14:51:22 GMT-0400 (EDT),UrbanRambler,english,-7,If I've lost this lot i'll be very annoyed,Potlatch 0.11
965266,Sat Apr 25 2009 22:03:07 GMT-0400 (EDT),Spesh,english,-6,added appalachian trail  kelly knob,JOSM
972128,Sun Apr 26 2009 08:01:19 GMT-0400 (EDT),gerosm,german,-6,Ich hab bald keine Lust mehr,JOSM
976373,Sun Apr 26 2009 13:06:26 GMT-0400 (EDT),cochran,german,-6,Tags für Str. zwischen Schmölln und Kummer hinzugefügt,JOSM
1008267,Tue Apr 28 2009 16:13:00 GMT-0400 (EDT),RedFox,french,-6,MIse à jour villages 64xxx,JOSM
1009881,Tue Apr 28 2009 18:52:48 GMT-0400 (EDT),olvagor,german,-6,Relation erstellt  die die Eppinger Linien erfasst,JOSM
1019651,Wed Apr 29 2009 15:57:19 GMT-0400 (EDT),fluestertuete,german,-6,Endlich dazu gekommen  die Namen der Straßen einzugeben. Leider hat mein Handy die Fotos nicht richtig mit EXIF-Daten versehen.,JOSM/1.5 (1555 de)
1028748,Thu Apr 30 2009 14:36:36 GMT-0400 (EDT),ThorF,portuguese,-6,ass,JOSM
1030663,Thu Apr 30 2009 17:34:16 GMT-0400 (EDT),cruz,german,-6,Der Radweg geht eigentlich die gesamte Lechenauer und dann auch noch die gesamte Schleißheimer Straße entlang.,JOSM
1035482,Fri May 01 2009 08:12:26 GMT-0400 (EDT),beldin,english,-6,Adjust Cape Jervis Assuming this shitting site will actually work.,JOSM
1049423,Sat May 02 2009 11:41:10 GMT-0400 (EDT),edwin-ldbg,latvian,-6,Fuck Xybot,JOSM/1.5 (1566 de)
1050354,Sat May 02 2009 13:08:45 GMT-0400 (EDT),Andre68,pidgin,-6,fixing bugs and node spam,JOSM/1.5 (1566 SVN de)
1057825,Sun May 03 2009 05:45:16 GMT-0400 (EDT),and!,german,-6,die geänderte Ortsstraße ist teilweise geteer und nicht über die ganze strecke ein Feldweg,JOSM
1059619,Sun May 03 2009 08:27:14 GMT-0400 (EDT),Thoemy,german,-6,Einige Brücken über die Rems hinzugefügt  die von keep right bemängelt wurden.,JOSM/1.5 (1567 SVN de)
1060159,Sun May 03 2009 09:08:18 GMT-0400 (EDT),Skywave,french,-6,fux,JOSM/1.5 (1558 en)
1073709,Mon May 04 2009 08:45:21 GMT-0400 (EDT),klinki,english,-6,fuck commenting for every thnik!,JOSM
1081012,Mon May 04 2009 19:00:00 GMT-0400 (EDT),olvagor,german,-6,Irgendwer hat beim Bearbeiten des Waldes die K 12 ein wenig kaputtgemacht. Wieder geradegerückt und die Straße detaillierter eingezeichnet,JOSM
1102185,Wed May 06 2009 18:44:41 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1566 de)
1102399,Wed May 06 2009 19:17:29 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1566 de)
1102421,Wed May 06 2009 19:23:27 GMT-0400 (EDT),edwin-ldbg,latin,-6,Fuck,JOSM/1.5 (1566 de)
1107283,Thu May 07 2009 10:33:12 GMT-0400 (EDT),MichaH,german,-6,Die Berlinerstraße ist die K 818,JOSM/1.5 (1566 en)
1110621,Thu May 07 2009 15:56:44 GMT-0400 (EDT),Heinz,german,-6,Waldweg bei Bitch,JOSM
1124045,Sat May 09 2009 03:47:07 GMT-0400 (EDT),aeonesa,german,-6,Reste alter Autobahnbrückenbogen  über die Trümmerfläche führt jetzt die Autobahn. Gelände ist eingezäunt und verwildert jetzt,JOSM
1127855,Sat May 09 2009 11:02:51 GMT-0400 (EDT),BiIbo,english,-6,bugfixes (crossing ways  bad tagging  bad crossings - roads not touching  etc ...),JOSM/1.5 (1553 SVN en)
1128034,Sat May 09 2009 11:19:52 GMT-0400 (EDT),BiIbo,english,-6,further bugfixes (crossing ways  bad tagging  bad crossings - roads not touching  etc ...),JOSM/1.5 (1553 SVN en)
1128096,Sat May 09 2009 11:25:38 GMT-0400 (EDT),BiIbo,english,-6,further bugfixes (crossing ways  bad tagging  bad crossings - roads not touching  etc ...),JOSM/1.5 (1553 SVN en)
1134184,Sat May 09 2009 21:12:46 GMT-0400 (EDT),andrewpmk,english,-6,SR16 not motorway. what the hell was I thinking?,Potlatch 0.11b
1143120,Sun May 10 2009 15:20:03 GMT-0400 (EDT),edwin-ldbg,german,-9,Eat shit and die!,JOSM/1.5 (1583 de)
1143449,Sun May 10 2009 15:37:09 GMT-0400 (EDT),edwin-ldbg,german,-9,Eat shit and die!,JOSM/1.5 (1583 de)
1154087,Mon May 11 2009 12:52:33 GMT-0400 (EDT),edwin-ldbg,german,-9,Eat shit and die!,JOSM/1.5 (1583 de)
1154395,Mon May 11 2009 13:23:46 GMT-0400 (EDT),edwin-ldbg,german,-9,Eat shit and die!,JOSM/1.5 (1583 de)
1154515,Mon May 11 2009 13:35:28 GMT-0400 (EDT),edwin-ldbg,german,-9,Eat shit and die!,JOSM/1.5 (1583 de)
1159526,Mon May 11 2009 20:29:34 GMT-0400 (EDT),Markus B,portuguese,-6,ass,JOSM
1188304,Thu May 14 2009 10:48:42 GMT-0400 (EDT),alv,english,-19,dumb dumb dumb  not me  wasn't  no. - city workers dumb dumb dumb,JOSM/1.5 (1555 fi)
1201078,Fri May 15 2009 12:45:17 GMT-0400 (EDT),eddyp,english,-6,Damn it Potlatch  don't make me duplicate stuff.,Potlatch 0.11b
1205339,Fri May 15 2009 20:20:28 GMT-0400 (EDT),zephyr,english,-9,more boring  boring  boring realignment.  Time to do something else,Merkaartor 0.13
1210308,Sat May 16 2009 10:32:18 GMT-0400 (EDT),dany111,english,-6,Fix Viareggio Motorway (what the hell!! :P ),JOSM/1.5 (1584 it)
1244397,Mon May 18 2009 23:51:59 GMT-0400 (EDT),zephyr,english,-6,Correct parts of the S.L.U.T. (south lake union trolley),Merkaartor 0.13
1270646,Wed May 20 2009 23:46:33 GMT-0400 (EDT),dkt,english,-6,Remove spam,JOSM
1280766,Thu May 21 2009 18:11:06 GMT-0400 (EDT),S-A-L,german,-8,Korrektur: Weg ohne Tags entfernt. Lief ein großes Stück an Stellen entlang an denen die Straße schon eingezeichnet war. Es wurde nicht das vorhandene Straßennetz ergänzt  sondern um eine Linie ergänzt die auch nur ein konvertierter Track sein könnte.,JOSM/1.5 (1566 de)
1280773,Thu May 21 2009 18:12:10 GMT-0400 (EDT),S-A-L,german,-8,Korrektur: Weg ohne Tags entfernt. Lief ein großes Stück an Stellen entlang an denen die Straße schon eingezeichnet war. Es wurde nicht das vorhandene Straßennetz ergänzt  sondern um eine Linie ergänzt die auch nur ein konvertierter Track sein könnte.,JOSM/1.5 (1566 de)
1283581,Fri May 22 2009 05:39:41 GMT-0400 (EDT),eddyp,welsh,-6,damn cycleways,Merkaartor 0.13
1283903,Fri May 22 2009 06:13:15 GMT-0400 (EDT),eddyp,english,-6,Damn Merkaartor deleted the cycleway,Potlatch 1.0
1298300,Sat May 23 2009 16:29:16 GMT-0400 (EDT),Michi,german,-6,Die B 286 erfüllt die Anforderungen für trunk nicht  da sie nicht autobahnähnlich ausgebaut ist.,JOSM/1.5 (1566 en)
1318473,Mon May 25 2009 14:14:21 GMT-0400 (EDT),Sebastian Reichel,english,-6,remove unneeded crap ^^,JOSM
1321071,Mon May 25 2009 17:51:20 GMT-0400 (EDT),Arve Dispen,norwegian,-6,changed ref from xxx to FVxxx,JOSM/1.5 (1605 en)
1321110,Mon May 25 2009 17:55:46 GMT-0400 (EDT),Arve Dispen,norwegian,-6,changed ref from xxx to FVxxx,JOSM/1.5 (1605 en)
1338269,Wed May 27 2009 18:20:02 GMT-0400 (EDT),UncleOwen,german,-6,ref="Ring 1" wieder rein - Schade  dass die Renderer die Relation noch nicht darstellen :(,JOSM/1.5 (1607 de)
